Query,Created At,Test run no.,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4,Avg (last 4 runs)
1,2025-03-04 14:53:15.488909,1,0.0020760420011356473,0.0016982919769361615,0.0020216249977238476,0.0013614580093417317,0.0019359169818926603,371036,371036,371036,371036,371036,0.0017543229914736003
2,2025-03-04 14:53:15.488909,1,0.007359833980444819,0.006092583993449807,0.004885333008132875,0.0052889169892296195,0.005840833997353911,280476,280508,280476,280476,280476,0.005526916997041553
3,2025-03-04 14:53:15.488909,1,0.003528375003952533,0.002533082995796576,0.003091874998062849,0.00321574998088181,0.002489040984073654,115900,115932,115900,115900,115900,0.0028324372397037223
4,2025-03-04 14:53:15.488909,1,0.0036462090210989118,0.0031795000249985605,0.004353374999482185,0.003445374983130023,0.003018709016032517,74514,74514,74514,74514,74514,0.0034992397559108213
5,2025-03-04 14:53:15.488909,1,0.0043043750047218055,0.004808750003576279,0.004095082986168563,0.004542875016340986,0.0038125830178614706,74364,74364,74364,74364,74364,0.004314822755986825
6,2025-03-04 14:53:15.488909,1,0.000686999992467463,0.0006285829877015203,0.0006111250258982182,0.0006603749934583902,0.000633791001746431,37308,37308,37308,37308,37308,0.0006334685022011399
7,2025-03-04 14:53:15.488909,1,0.004746708000311628,0.005205583991482854,0.003937583998776972,0.004801499977475032,0.004363916988950223,148508,148508,148508,148508,148508,0.00457714623917127
8,2025-03-04 14:53:15.488909,1,0.004404208972118795,0.0048277500027325004,0.004595458012772724,0.004886332986643538,0.005486417008796707,74364,74364,74364,74364,74364,0.004948989502736367
9,2025-03-04 14:53:15.488909,1,0.005763125023804605,0.005632542015518993,0.005134333012392744,0.004874000005656853,0.004415875009726733,114239,114239,114239,114239,114239,0.005014187510823831
10,2025-03-04 14:53:15.488909,1,0.0037975840095896274,0.0031791250221431255,0.003928457997972146,0.0034278339880984277,0.003428249998250976,287138,287170,287138,287138,287138,0.0034909167516161688
11,2025-03-04 14:53:15.488909,1,0.0031131249852478504,0.0028966250247322023,0.0026088340091519058,0.0030925000028219074,0.0028714999789372087,57980,57980,57980,57980,57980,0.002867364753910806
12,2025-03-04 14:53:15.488909,1,0.0018346659780945629,0.0021465409954544157,0.001970667013665661,0.001764582993928343,0.001739541010465473,111420,111420,111420,111420,111420,0.0019053330033784732
13,2025-03-04 14:53:15.488909,1,0.0018966250063385814,0.0017418750212527812,0.0019697500101756305,0.001926291995914653,0.0016892909770831466,74364,74364,74364,74364,74364,0.0018318020011065528
14,2025-03-04 14:53:15.488909,1,0.0013755830004811287,0.0012087499781046063,0.0011797499901149422,0.0011732499988283962,0.0011744580115191638,37308,37308,37308,37308,37308,0.0011840519946417771
15,2025-03-04 14:53:15.488909,1,0.0020983330032322556,0.0023202500015031546,0.0020650829828809947,0.0021116250136401504,0.002024207991780713,169289,169289,169289,169289,169289,0.0021302914974512532
16,2025-03-04 14:53:15.488909,1,0.004433791997143999,0.003517875011311844,0.003425125003559515,0.0030475829844363034,0.0029814580047968775,135786,135786,135786,135786,135786,0.003243010251026135
17,2025-03-04 14:53:15.488909,1,0.002240999980131164,0.0020423750102054328,0.0021323339897207916,0.002025583991780877,0.0025169579894281924,37308,37308,37308,37308,37308,0.0021793127452838235
18,2025-03-04 14:53:15.488909,1,0.0026095839857589453,0.0028854999982286245,0.003013042005477473,0.002800417016260326,0.002656124997884035,190076,190076,190076,190076,190076,0.0028387710044626147
19,2025-03-04 14:53:15.488909,1,0.002273166988743469,0.0021078749850858003,0.0020148330077063292,0.0020079159876331687,0.00197500002104789,37308,37308,37308,37308,37308,0.002026406000368297
20,2025-03-04 14:53:15.488909,1,0.003119374974630773,0.002984833001391962,0.0029895420011598617,0.0031902499904390424,0.0030985420162323862,74364,74364,74364,74364,74364,0.003065791752305813
21,2025-03-04 14:53:15.488909,1,0.003731042001163587,0.0037417089915834367,0.003938834008295089,0.0037312089989427477,0.003649916994618252,74364,74364,74364,74364,74364,0.0037654172483598813
22,2025-03-04 14:53:15.488909,1,0.004491750005399808,0.003460957988863811,0.003292459005024284,0.0032650420034769922,0.0038369999965652823,111624,111624,111624,111624,111624,0.0034638647484825924
